Species,+/-,H,He,C,N,O,F,P,S,Cl,Na,Mg,Al,Si,K,Ca,Ti,Fe,MolMass,n,f,T3[K],P3[kPa]
C10+,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.1100,10,6,0.00,0.000E+00
C10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.1110,10,6,0.00,0.000E+00
C10-,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.1120,10,6,0.00,0.000E+00
C9N+,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.1030,10,6,0.00,0.000E+00
C9N,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.1030,10,6,0.00,0.000E+00
C3H8+,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0951,11,6,0.00,0.000E+00
C4H7+,1,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0979,11,6,0.00,0.000E+00
pActn+,1,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59.0872,11,6,0.00,0.000E+00
C6H5+,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1034,11,6,0.00,0.000E+00
C7H4+,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1062,11,6,0.00,0.000E+00
CH3C6H,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1067,11,6,0.00,0.000E+00
pMCDA+,1,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.1022,11,6,0.00,0.000E+00
C8H3+,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1089,11,6,0.00,0.000E+00
H3C7N+,1,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101.1050,11,6,0.00,0.000E+00
C9H2+,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.1120,11,6,0.00,0.000E+00
C9H2,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.1120,11,6,0.00,0.000E+00
C10H+,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.1170,11,6,0.00,0.000E+00
C10H,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.1180,11,6,0.00,0.000E+00
C10H-,-1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.1190,11,6,0.00,0.000E+00
HC9N+,1,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.1100,11,6,0.00,0.000E+00
HC9N,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.1110,11,6,0.00,0.000E+00
C11+,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.1205,11,6,0.00,0.000E+00
C11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.1210,11,6,0.00,0.000E+00
C6H6+,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1113,12,6,0.00,0.000E+00
C6H6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1118,12,6,278.50,0.000E+00
C7H5+,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1141,12,6,0.00,0.000E+00
C8H4+,1,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.1170,12,6,0.00,0.000E+00
C9H3+,1,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.1200,12,6,0.00,0.000E+00
MCTA,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1160,12,6,0.00,0.000E+00
C10H2+,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.1250,12,6,0.00,0.000E+00
C10H2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.1260,12,6,0.00,0.000E+00
H2C9N+,1,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124.1184,12,6,0.00,0.000E+00
C6H7+,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.1193,13,6,0.00,0.000E+00
C8H5+,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.1250,13,6,0.00,0.000E+00
C9H4+,1,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.1280,13,6,0.00,0.000E+00
pMCTA+,1,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114.1240,13,6,0.00,0.000E+00
C10H3+,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.1330,13,6,0.00,0.000E+00
H3C9N+,1,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.1260,13,6,0.00,0.000E+00
C9H5+,1,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1360,14,6,0.00,0.000E+00
